epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,448.567,1.09329,9.57071,0.03221,0.76453,0.68268,0.78423,0.32888,0.907,9.76358,0.02594,0.000655367,0.000655367,0.000655367
2,842.411,1.26201,5.24603,0.03883,0.89367,0.81282,0.90189,0.50337,1.30427,4.98971,0.03714,0.00131767,0.00131767,0.00131767
3,1220.88,1.27457,2.80163,0.03963,0.74202,0.87179,0.83854,0.44366,1.59164,2.47013,0.05067,0.00197558,0.00197558,0.00197558
4,1598.23,1.34587,1.79472,0.04211,0.90845,0.93846,0.95834,0.58744,1.27382,1.305,0.03832,0.0019802,0.0019802,0.0019802
5,1973.02,1.30001,1.33991,0.04038,0.94422,0.91144,0.9666,0.52069,1.55364,1.10641,0.04952,0.0019736,0.0019736,0.0019736
6,2346.88,1.25489,1.15061,0.03818,0.92229,0.9641,0.9757,0.52592,1.47039,0.95242,0.04822,0.001967,0.001967,0.001967
7,2723.11,1.25067,1.02915,0.0378,0.79975,0.8397,0.89189,0.43057,1.75302,1.22665,0.05517,0.0019604,0.0019604,0.0019604
8,3097.31,1.19429,0.99587,0.03629,0.86342,0.94103,0.95244,0.55539,1.42241,1.07278,0.04635,0.0019538,0.0019538,0.0019538
9,3470.52,1.22468,0.92632,0.03665,0.96962,0.98188,0.99131,0.5966,1.29615,0.7235,0.03876,0.0019472,0.0019472,0.0019472
10,3845.95,1.21072,0.91528,0.0356,0.89088,0.91795,0.97749,0.65059,1.12889,0.63147,0.03203,0.0019406,0.0019406,0.0019406
11,4219.76,1.19642,0.89646,0.03613,0.89552,0.90256,0.93564,0.53273,1.37727,0.85645,0.04384,0.001934,0.001934,0.001934
12,4594.74,1.19833,0.86188,0.03633,0.979,0.91026,0.98244,0.61897,1.30991,0.85773,0.03937,0.0019274,0.0019274,0.0019274
13,4972.73,1.15855,0.82079,0.03482,0.95764,0.94103,0.9885,0.61899,1.36886,0.79773,0.0401,0.0019208,0.0019208,0.0019208
14,5347.35,1.12547,0.86444,0.03353,0.96683,0.97165,0.99105,0.66883,1.0566,0.54021,0.02981,0.0019142,0.0019142,0.0019142
15,5722.93,1.10272,0.82635,0.03306,0.94387,0.93077,0.95622,0.50292,1.55511,0.8985,0.04748,0.0019076,0.0019076,0.0019076
16,6098.27,1.11608,0.77176,0.03328,0.97194,0.97713,0.99231,0.69392,1.27342,0.52299,0.03705,0.001901,0.001901,0.001901
17,6471.66,1.11247,0.77968,0.0334,0.98026,0.94359,0.99047,0.68784,1.12008,0.44239,0.03246,0.0018944,0.0018944,0.0018944
18,6845.49,1.11201,0.77418,0.03288,0.96241,0.98475,0.99181,0.7109,1.02253,0.45493,0.02811,0.0018878,0.0018878,0.0018878
19,7219.82,1.05338,0.75957,0.03115,0.94558,0.9359,0.98076,0.5854,1.31733,0.82906,0.03811,0.0018812,0.0018812,0.0018812
20,7592.39,1.11411,0.77032,0.03271,0.9796,0.98489,0.99391,0.74445,1.03249,0.48153,0.02873,0.0018746,0.0018746,0.0018746
21,7965.71,1.04566,0.74749,0.03019,0.8835,0.95283,0.97514,0.6962,1.17029,0.52355,0.03407,0.001868,0.001868,0.001868
22,8339.36,1.07749,0.71899,0.03194,0.98695,0.96981,0.99374,0.70237,1.06067,0.43638,0.03059,0.0018614,0.0018614,0.0018614
23,8712.79,1.03858,0.7176,0.03018,0.97729,0.99325,0.99351,0.71874,0.98879,0.43288,0.02772,0.0018548,0.0018548,0.0018548
