epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,532.828,1.0588,11.1524,0.03116,0.00382,0.99489,0.21165,0.09915,1.04955,11.3909,0.03126,0.000409605,0.000409605,0.000409605
2,982.092,1.04317,7.94125,0.03041,0.50635,0.35437,0.40455,0.26896,0.99343,7.31404,0.02946,0.000823544,0.000823544,0.000823544
3,1482.07,1.09037,5.39879,0.03272,0.49011,0.53907,0.50846,0.34446,1.13029,3.83483,0.03339,0.00123473,0.00123473,0.00123473
4,1955.71,1.15575,3.55218,0.03501,0.4387,0.58918,0.46606,0.2833,1.33588,2.80179,0.03995,0.00123763,0.00123763,0.00123763
5,2425.72,1.1437,2.58902,0.03394,0.41204,0.59167,0.49019,0.31843,1.16888,2.36662,0.03295,0.0012335,0.0012335,0.0012335
6,2897.87,1.16278,2.13401,0.03489,0.52631,0.6165,0.52504,0.34436,1.12605,1.89573,0.03251,0.00122937,0.00122937,0.00122937
7,3383.88,1.16268,1.8484,0.03445,0.45834,0.56739,0.51613,0.30852,1.39413,1.84796,0.04407,0.00122525,0.00122525,0.00122525
8,3881.91,1.1099,1.74861,0.03336,0.58383,0.57484,0.6214,0.43156,1.10277,1.41481,0.03028,0.00122112,0.00122112,0.00122112
9,4373.34,1.16347,1.59107,0.03445,0.54249,0.6281,0.62414,0.42127,1.1528,1.36885,0.03088,0.001217,0.001217,0.001217
10,4853.32,1.09994,1.49128,0.03263,0.60422,0.68608,0.66502,0.42382,1.24132,1.33363,0.03661,0.00121287,0.00121287,0.00121287
11,5334.88,1.06489,1.45398,0.03112,0.47296,0.56897,0.51085,0.36269,0.98939,1.66526,0.02796,0.00120875,0.00120875,0.00120875
12,5812.95,1.11336,1.37478,0.0335,0.44413,0.66763,0.5591,0.35609,1.21919,1.53584,0.0355,0.00120462,0.00120462,0.00120462
13,6293.74,1.11161,1.3409,0.03295,0.49599,0.70886,0.6375,0.42847,1.09403,1.47602,0.02944,0.0012005,0.0012005,0.0012005
14,6772.59,1.05904,1.29129,0.03091,0.41871,0.60805,0.523,0.35674,1.05505,1.76406,0.02998,0.00119637,0.00119637,0.00119637
