epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.45,1.56632,6.18231,0.02685,0.00341,0.93939,0.26701,0.12973,0.96009,10.7878,0.01973,0.00032,0.00032,0.00032
2,279.986,1.36473,5.40213,0.02426,0.00304,0.83838,0.12264,0.03881,1.64018,11.3556,0.03837,0.000657822,0.000657822,0.000657822
3,417.485,1.43975,4.80438,0.02498,0.18987,0.48485,0.24147,0.08072,1.54987,10.2442,0.03781,0.0009934,0.0009934,0.0009934
4,556.305,1.48867,4.17439,0.02571,0.44894,0.24242,0.33699,0.1422,1.4452,8.79399,0.03163,0.00132673,0.00132673,0.00132673
5,694.878,1.51756,3.68633,0.02589,0.45287,0.34343,0.34192,0.13102,1.71703,7.57485,0.04488,0.00165782,0.00165782,0.00165782
6,833.483,1.61029,3.21211,0.02738,0.5043,0.32323,0.31379,0.12806,1.69734,5.69585,0.04214,0.001967,0.001967,0.001967
7,976.404,1.66331,2.89915,0.02989,0.39138,0.37374,0.31768,0.08467,2.17605,5.22824,0.05556,0.0019604,0.0019604,0.0019604
8,1115.16,1.71174,2.73725,0.03056,0.32652,0.50505,0.37856,0.14075,2.0326,3.91499,0.05062,0.0019538,0.0019538,0.0019538
9,1253.26,1.71385,2.41612,0.02933,0.49913,0.47475,0.49551,0.20547,1.88933,3.18714,0.04626,0.0019472,0.0019472,0.0019472
10,1391.06,1.69708,2.23596,0.03005,0.41543,0.42424,0.39157,0.12879,2.08831,3.24575,0.05311,0.0019406,0.0019406,0.0019406
11,1530.17,1.73521,2.27871,0.03133,0.57586,0.50505,0.49008,0.18272,2.17285,2.5736,0.05443,0.001934,0.001934,0.001934
12,1671.37,1.71831,2.17776,0.03188,0.52902,0.63537,0.58851,0.24268,1.81943,2.2319,0.04405,0.0019274,0.0019274,0.0019274
13,1809.99,1.69605,2.02299,0.03078,0.68359,0.65657,0.67762,0.25145,2.10701,1.88541,0.04876,0.0019208,0.0019208,0.0019208
14,1949.82,1.74736,1.96516,0.03007,0.61813,0.70308,0.71708,0.30539,1.87466,1.66562,0.0426,0.0019142,0.0019142,0.0019142
15,2088.36,1.70884,1.9036,0.03039,0.53755,0.54545,0.54133,0.2012,2.20309,2.39547,0.05324,0.0019076,0.0019076,0.0019076
16,2228.76,1.72264,1.92953,0.03076,0.60639,0.61616,0.60339,0.21102,1.99311,2.08719,0.04804,0.001901,0.001901,0.001901
17,2368.57,1.74473,1.92314,0.02938,0.49964,0.65657,0.59976,0.2427,1.92003,1.76186,0.04592,0.0018944,0.0018944,0.0018944
18,2510.37,1.72053,1.84289,0.02978,0.64628,0.66667,0.66364,0.27253,2.07002,1.72206,0.04965,0.0018878,0.0018878,0.0018878
19,2651.5,1.70723,1.75046,0.02788,0.64715,0.70707,0.72938,0.28602,1.97136,1.52301,0.04369,0.0018812,0.0018812,0.0018812
20,2791.39,1.69844,1.73558,0.02775,0.65304,0.80808,0.78411,0.34666,1.88306,1.40967,0.044,0.0018746,0.0018746,0.0018746
21,2930.38,1.67308,1.70662,0.02916,0.64977,0.64646,0.70896,0.32588,1.89114,1.51105,0.04286,0.001868,0.001868,0.001868
22,3065.77,1.67534,1.72528,0.02953,0.57204,0.79798,0.7202,0.28502,1.97564,1.52163,0.04464,0.0018614,0.0018614,0.0018614
23,3201.85,1.69274,1.76442,0.03015,0.56939,0.72727,0.66265,0.29745,1.88987,1.56152,0.0441,0.0018548,0.0018548,0.0018548
24,3339.46,1.72563,1.75674,0.02903,0.68113,0.6473,0.60417,0.21013,2.17191,1.83719,0.05467,0.0018482,0.0018482,0.0018482
25,3483.59,1.68621,1.63154,0.03071,0.66307,0.56566,0.61416,0.20043,2.43988,1.71786,0.05843,0.0018416,0.0018416,0.0018416
26,3627.99,1.67465,1.68654,0.03042,0.59926,0.48336,0.48214,0.15765,2.80751,1.73349,0.07625,0.001835,0.001835,0.001835
27,3773.32,1.65063,1.62697,0.02904,0.8052,0.58455,0.70436,0.28538,2.11407,2.08309,0.04761,0.0018284,0.0018284,0.0018284
28,3917.2,1.63035,1.60493,0.0289,0.80155,0.75758,0.81074,0.37862,1.81227,1.28953,0.03885,0.0018218,0.0018218,0.0018218
29,4061,1.68028,1.58267,0.02834,0.64699,0.68687,0.67196,0.28198,1.97259,1.62702,0.04607,0.0018152,0.0018152,0.0018152
30,4201.17,1.60524,1.56544,0.02798,0.75943,0.73737,0.81872,0.42009,1.57966,1.21758,0.03323,0.0018086,0.0018086,0.0018086
31,4340.55,1.63568,1.55477,0.02752,0.69376,0.70707,0.75853,0.37391,1.81603,1.37777,0.04186,0.001802,0.001802,0.001802
32,4476.45,1.60893,1.44213,0.02666,0.60395,0.73737,0.70739,0.36283,1.74839,1.55714,0.03835,0.0017954,0.0017954,0.0017954
33,4610.87,1.61854,1.57288,0.02752,0.73536,0.78593,0.83014,0.43911,1.60097,1.12954,0.03471,0.0017888,0.0017888,0.0017888
34,4747.69,1.63839,1.62494,0.02691,0.74643,0.65657,0.71392,0.31555,2.13894,1.59767,0.05004,0.0017822,0.0017822,0.0017822
35,4880.96,1.58829,1.56297,0.02737,0.80359,0.86869,0.86881,0.47165,1.67622,0.99809,0.03672,0.0017756,0.0017756,0.0017756
36,5015.39,1.63439,1.61323,0.02873,0.84966,0.77778,0.85148,0.42758,1.72174,1.0242,0.03735,0.001769,0.001769,0.001769
37,5154.87,1.60433,1.55554,0.02737,0.73952,0.74747,0.77871,0.36149,1.89635,1.12151,0.04042,0.0017624,0.0017624,0.0017624
38,5290.99,1.5934,1.49884,0.02691,0.74812,0.78008,0.82142,0.40038,1.84383,1.06694,0.04138,0.0017558,0.0017558,0.0017558
39,5423.63,1.59979,1.42756,0.02663,0.82089,0.83333,0.89699,0.48161,1.56351,0.89691,0.03261,0.0017492,0.0017492,0.0017492
40,5555.59,1.55193,1.44124,0.02538,0.87603,0.74747,0.82395,0.43919,1.76472,0.97584,0.04058,0.0017426,0.0017426,0.0017426
41,5698.57,1.55733,1.41869,0.02573,0.76002,0.70382,0.74217,0.44263,1.5741,1.25775,0.03403,0.001736,0.001736,0.001736
42,5841.38,1.56423,1.50046,0.02726,0.84043,0.74481,0.82006,0.42733,1.69176,0.98124,0.03589,0.0017294,0.0017294,0.0017294
43,5982.01,1.59972,1.45066,0.02657,0.79018,0.77778,0.84238,0.43843,1.70404,1.02555,0.03799,0.0017228,0.0017228,0.0017228
