epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.594,1.88111,2.7762,2.27406,0.00348,0.86364,0.1817,0.04764,2.33234,3.99278,2.7162,0.00032,0.00032,0.00032
2,343.634,1.70594,2.43126,2.09221,0.00392,0.38182,0.0434,0.01739,3.18814,4.735,4.84785,0.000657822,0.000657822,0.000657822
3,510.386,1.78157,2.42254,2.16974,0.02108,0.17273,0.0107,0.0028,2.91073,8.63632,6.79107,0.0009934,0.0009934,0.0009934
4,677.098,1.73641,2.27484,2.11915,0.0276,0.16364,0.01306,0.00281,3.21231,4.63142,4.56202,0.00132673,0.00132673,0.00132673
5,844.381,1.76363,2.23453,2.14746,0.01044,0.05455,0.00372,0.00077,3.62797,5.75249,5.36271,0.00165782,0.00165782,0.00165782
6,1015.61,1.75423,2.16501,2.13523,0.01595,0.05455,0.00288,0.00065,3.9452,17.7565,11.9691,0.001967,0.001967,0.001967
7,1180.67,1.83869,2.20047,2.18306,0.01476,0.13636,0.00485,0.00099,3.90133,63.073,25.2491,0.0019604,0.0019604,0.0019604
8,1351.34,1.72458,2.13344,2.10321,0.00556,0.02727,0.00108,0.00028,4.02416,380.151,13.116,0.0019538,0.0019538,0.0019538
9,1514.78,1.75924,2.07585,2.1329,0.02049,0.08182,0.00621,0.00159,3.53219,21.8075,4.94949,0.0019472,0.0019472,0.0019472
10,1677.37,1.73386,2.05668,2.09289,0.01426,0.11818,0.01053,0.00252,2.95074,7.81868,3.96966,0.0019406,0.0019406,0.0019406
11,1842.63,1.69701,2.05391,2.07816,0.06157,0.02727,0.00436,0.00083,3.56137,4.99452,4.23796,0.001934,0.001934,0.001934
12,2004.99,1.70021,1.98852,2.0498,0.0769,0.28182,0.06296,0.01713,2.94276,8.54463,3.94094,0.0019274,0.0019274,0.0019274
13,2170.6,1.73053,1.92952,2.08598,0.32038,0.28182,0.1649,0.03877,2.87391,4.48385,3.25347,0.0019208,0.0019208,0.0019208
14,2333.67,1.72079,1.92145,2.05103,0.29424,0.2,0.14614,0.03782,3.03018,4.86775,3.63222,0.0019142,0.0019142,0.0019142
