epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,306.633,1.21042,3.268,1.66906,0.00424,1,0.29278,0.15557,1.14633,3.44192,1.43547,0.000409605,0.000409605,0.000409605
2,605.113,1.19393,2.49381,1.57639,0.41592,0.60907,0.48997,0.27214,1.3012,2.59949,1.67496,0.000823544,0.000823544,0.000823544
3,902.181,1.20109,2.19,1.59344,0.34164,0.48652,0.35141,0.2008,1.28129,2.47045,1.61769,0.00123473,0.00123473,0.00123473
4,1192.9,1.2073,1.96523,1.5811,0.17149,0.48639,0.2452,0.0875,2.01282,3.1469,2.45253,0.00123763,0.00123763,0.00123763
5,1482.4,1.19503,1.81663,1.56317,0.31766,0.54543,0.33652,0.17095,1.59263,2.16231,1.9077,0.0012335,0.0012335,0.0012335
6,1769.43,1.15182,1.66184,1.52678,0.33674,0.41728,0.41724,0.26168,1.17133,1.93357,1.46524,0.00122937,0.00122937,0.00122937
7,2055.21,1.12878,1.60433,1.49959,0.46662,0.68022,0.58153,0.38185,1.23994,1.47148,1.47263,0.00122525,0.00122525,0.00122525
8,2341.21,1.08045,1.55149,1.46994,0.33817,0.70253,0.50005,0.28287,1.43083,1.76721,1.67683,0.00122112,0.00122112,0.00122112
9,2627.29,1.08594,1.50074,1.47352,0.47794,0.64361,0.54094,0.33208,1.28142,1.55936,1.49087,0.001217,0.001217,0.001217
10,2910.93,1.08805,1.48789,1.46402,0.49382,0.65211,0.57414,0.36413,1.2705,1.4478,1.5291,0.00121287,0.00121287,0.00121287
11,3195.41,1.03952,1.48479,1.43982,0.53394,0.69783,0.63451,0.44607,0.99758,1.42623,1.27802,0.00120875,0.00120875,0.00120875
12,3484.86,1.03665,1.4506,1.42712,0.50061,0.69069,0.56495,0.35514,1.3522,1.42928,1.50853,0.00120462,0.00120462,0.00120462
13,3774.95,1.01581,1.39989,1.41803,0.46785,0.61686,0.55736,0.39072,1.11393,1.51797,1.36495,0.0012005,0.0012005,0.0012005
14,4065.44,1.00873,1.39621,1.40207,0.42498,0.63302,0.53494,0.36101,1.09804,1.59965,1.34801,0.00119637,0.00119637,0.00119637
15,4355.81,0.99372,1.40986,1.40009,0.53865,0.68437,0.67385,0.48196,1.00132,1.22178,1.28769,0.00119225,0.00119225,0.00119225
16,4645.76,0.98404,1.34468,1.39647,0.48165,0.64182,0.59306,0.43196,0.96692,1.50022,1.2758,0.00118812,0.00118812,0.00118812
17,4936.53,0.98378,1.33252,1.37425,0.47834,0.58553,0.51481,0.35393,1.10311,1.38574,1.31393,0.001184,0.001184,0.001184
18,5226.91,0.98365,1.3297,1.37291,0.60662,0.70584,0.68921,0.47202,1.03295,1.17956,1.31899,0.00117988,0.00117988,0.00117988
19,5516.81,0.96894,1.29052,1.36257,0.36042,0.65192,0.54162,0.37731,1.07934,1.55279,1.31445,0.00117575,0.00117575,0.00117575
20,5807,0.95828,1.30099,1.35635,0.52744,0.68536,0.65274,0.43484,1.12136,1.30627,1.37647,0.00117163,0.00117163,0.00117163
21,6098.38,0.92966,1.27788,1.34286,0.47786,0.72174,0.59633,0.42599,0.98748,1.35496,1.28769,0.0011675,0.0011675,0.0011675
22,6390.12,0.93976,1.29937,1.35076,0.35178,0.70268,0.5487,0.40409,0.96987,1.71549,1.29362,0.00116337,0.00116337,0.00116337
23,6681.61,0.91369,1.25338,1.33975,0.60082,0.68789,0.67869,0.48148,1.02488,1.18414,1.2795,0.00115925,0.00115925,0.00115925
24,6972.12,0.92351,1.25502,1.34823,0.32685,0.7242,0.50354,0.34869,1.04164,1.85151,1.30812,0.00115513,0.00115513,0.00115513
25,7261.09,0.89588,1.21368,1.32228,0.36992,0.67868,0.55733,0.35404,1.29481,1.56367,1.52218,0.001151,0.001151,0.001151
26,7548.94,0.90908,1.20512,1.32059,0.32988,0.69125,0.46913,0.31113,1.1336,1.81841,1.36194,0.00114688,0.00114688,0.00114688
27,7832.05,0.91201,1.20134,1.327,0.56537,0.65582,0.66248,0.47082,1.00172,1.44066,1.28572,0.00114275,0.00114275,0.00114275
28,8112.23,0.89019,1.15488,1.32651,0.53759,0.61201,0.63086,0.44586,1.10099,1.29463,1.34531,0.00113863,0.00113863,0.00113863
29,8392.03,0.88154,1.16242,1.29817,0.56246,0.67168,0.68569,0.49659,0.94413,1.25768,1.21544,0.0011345,0.0011345,0.0011345
30,8671.98,0.87934,1.12701,1.30935,0.64121,0.78456,0.76389,0.57117,0.88766,1.07833,1.1822,0.00113038,0.00113038,0.00113038
31,8951.91,0.88874,1.11522,1.31882,0.54391,0.68415,0.64714,0.47035,0.96737,1.30846,1.20539,0.00112625,0.00112625,0.00112625
32,9239.2,0.88095,1.11436,1.29998,0.53873,0.72593,0.65003,0.48495,0.88825,1.42685,1.19515,0.00112213,0.00112213,0.00112213
33,9522.95,0.86227,1.08722,1.2898,0.65575,0.77634,0.7436,0.56035,0.92331,1.07045,1.21488,0.001118,0.001118,0.001118
34,9811,0.87219,1.05811,1.29753,0.60183,0.75118,0.72486,0.53445,0.91321,1.17745,1.21716,0.00111388,0.00111388,0.00111388
35,10097.3,0.84662,1.06015,1.26868,0.51295,0.67828,0.62792,0.4614,0.9173,1.70342,1.21125,0.00110975,0.00110975,0.00110975
36,10381.2,0.84928,1.03647,1.27209,0.74393,0.67763,0.78074,0.58814,0.90144,1.04525,1.20167,0.00110563,0.00110563,0.00110563
37,10666.2,0.83813,1.024,1.27198,0.62294,0.74893,0.7312,0.54745,0.88052,1.13597,1.1713,0.0011015,0.0011015,0.0011015
38,10949.6,0.82406,1.03013,1.24893,0.60071,0.73054,0.72676,0.55506,0.90083,1.1442,1.21239,0.00109738,0.00109738,0.00109738
39,11234,0.8143,1.03473,1.25202,0.58379,0.76384,0.71753,0.53795,0.90211,1.28853,1.20692,0.00109325,0.00109325,0.00109325
40,11517.9,0.8178,0.99967,1.24996,0.52134,0.65245,0.63288,0.4755,0.86951,1.42086,1.18291,0.00108913,0.00108913,0.00108913
41,11813.4,0.8237,0.99807,1.25975,0.64013,0.65795,0.69559,0.51358,0.91311,1.3521,1.23103,0.001085,0.001085,0.001085
42,12101.4,0.80259,0.97847,1.23627,0.64329,0.63859,0.69986,0.49725,0.96727,1.30961,1.25276,0.00108088,0.00108088,0.00108088
43,12389,0.80157,0.95366,1.24162,0.62917,0.69543,0.6957,0.52403,0.89336,1.46667,1.19052,0.00107675,0.00107675,0.00107675
44,12677.3,0.8208,0.95167,1.24904,0.60893,0.69674,0.75423,0.57639,0.89806,1.17398,1.18392,0.00107263,0.00107263,0.00107263
45,12964.9,0.80976,0.92035,1.24262,0.68821,0.75775,0.77893,0.57571,0.90799,1.02322,1.22316,0.0010685,0.0010685,0.0010685
46,13252.5,0.78522,0.92359,1.23159,0.63842,0.71311,0.70558,0.51967,0.9567,1.20106,1.22871,0.00106437,0.00106437,0.00106437
47,13540.2,0.81051,0.9323,1.23905,0.67663,0.67092,0.72224,0.55571,0.87227,1.18496,1.21081,0.00106025,0.00106025,0.00106025
48,13828.3,0.79464,0.89757,1.23197,0.57214,0.62569,0.63962,0.48122,0.91364,1.47721,1.18989,0.00105612,0.00105612,0.00105612
49,14116.8,0.79044,0.91247,1.22755,0.74402,0.7501,0.82843,0.6212,0.90338,0.96536,1.21245,0.001052,0.001052,0.001052
50,14404.2,0.7714,0.88623,1.20681,0.72828,0.79896,0.81181,0.61477,0.87751,1.00362,1.17998,0.00104787,0.00104787,0.00104787
51,14691.8,0.78867,0.88745,1.22853,0.70893,0.79611,0.79357,0.60513,0.85492,1.08479,1.18105,0.00104375,0.00104375,0.00104375
52,14981.2,0.7762,0.82012,1.22644,0.72881,0.74102,0.79676,0.61106,0.88111,1.01734,1.19059,0.00103962,0.00103962,0.00103962
53,15270.4,0.77576,0.84647,1.22486,0.76512,0.76009,0.80558,0.61434,0.88126,0.99323,1.17677,0.0010355,0.0010355,0.0010355
54,15555.2,0.7773,0.88067,1.23102,0.75906,0.72595,0.78513,0.57947,0.90159,1.26893,1.1977,0.00103138,0.00103138,0.00103138
