epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,449.83,1.22243,8.94577,0.03523,0.00499,0.85241,0.07565,0.04925,0.838,8.75794,0.02151,0.00122881,0.000409605,0.00122881,0.000409605,0.00122881,0.000409605,0.00122881,0.000409605
2,857.394,0.9701,7.8734,0.02709,0.5984,0.15634,0.17904,0.12223,0.85302,7.66828,0.02279,0.00247063,0.000823544,0.00247063,0.000823544,0.00247063,0.000823544,0.00247063,0.000823544
3,1226.33,0.93924,6.71346,0.0266,0.22993,0.42904,0.23997,0.16724,0.90485,6.10759,0.02483,0.0037042,0.00123473,0.0037042,0.00123473,0.0037042,0.00123473,0.0037042,0.00123473
4,1584.07,0.98174,5.2198,0.02796,0.36616,0.54104,0.42664,0.30771,0.95685,4.49932,0.02549,0.00371287,0.00123763,0.00371287,0.00123763,0.00371287,0.00123763,0.00371287,0.00123763
5,1951.59,0.95601,3.99996,0.02743,0.45157,0.6004,0.5023,0.36494,0.87416,3.52033,0.02407,0.0037005,0.0012335,0.0037005,0.0012335,0.0037005,0.0012335,0.0037005,0.0012335
6,2317.77,0.95636,3.26692,0.02753,0.53593,0.55271,0.5544,0.41344,0.8998,2.87761,0.02406,0.00368812,0.00122937,0.00368812,0.00122937,0.00368812,0.00122937,0.00368812,0.00122937
7,2689.52,0.92889,2.75893,0.02613,0.50092,0.57824,0.57962,0.42838,0.92628,2.504,0.02515,0.00367575,0.00122525,0.00367575,0.00122525,0.00367575,0.00122525,0.00367575,0.00122525
8,3059.81,0.90196,2.39,0.02558,0.53123,0.66452,0.58807,0.44175,0.87669,2.21761,0.02285,0.00366337,0.00122112,0.00366337,0.00122112,0.00366337,0.00122112,0.00366337,0.00122112
9,3429.73,0.88749,2.12389,0.02501,0.63628,0.68505,0.70096,0.52944,0.88151,1.92561,0.02286,0.003651,0.001217,0.003651,0.001217,0.003651,0.001217,0.003651,0.001217
10,3785.21,0.86285,1.91063,0.0242,0.6775,0.68646,0.71337,0.53316,0.91491,1.77802,0.02407,0.00363862,0.00121287,0.00363862,0.00121287,0.00363862,0.00121287,0.00363862,0.00121287
11,4128.81,0.85315,1.71933,0.0239,0.60686,0.68786,0.67168,0.50611,0.86318,1.84522,0.02208,0.00362625,0.00120875,0.00362625,0.00120875,0.00362625,0.00120875,0.00362625,0.00120875
12,4468.43,0.8299,1.62394,0.02334,0.632,0.71665,0.71697,0.54066,0.83291,1.69396,0.02175,0.00361387,0.00120462,0.00361387,0.00120462,0.00361387,0.00120462,0.00361387,0.00120462
13,4986.48,0.83643,1.46689,0.02369,0.65201,0.71547,0.72793,0.54719,0.79491,1.56859,0.02043,0.0036015,0.0012005,0.0036015,0.0012005,0.0036015,0.0012005,0.0036015,0.0012005
14,5388.07,0.81594,1.36749,0.02276,0.64059,0.71009,0.72903,0.54424,0.81251,1.53862,0.02113,0.00358912,0.00119637,0.00358912,0.00119637,0.00358912,0.00119637,0.00358912,0.00119637
15,5728.88,0.8111,1.30469,0.02293,0.78404,0.66432,0.77241,0.58499,0.86162,1.3147,0.02246,0.00357675,0.00119225,0.00357675,0.00119225,0.00357675,0.00119225,0.00357675,0.00119225
16,6068.2,0.79687,1.19388,0.02235,0.74772,0.67783,0.76136,0.56411,0.8399,1.32046,0.02171,0.00356437,0.00118812,0.00356437,0.00118812,0.00356437,0.00118812,0.00356437,0.00118812
17,6408.81,0.80096,1.15754,0.02272,0.76999,0.72599,0.79612,0.59528,0.84374,1.22333,0.02195,0.003552,0.001184,0.003552,0.001184,0.003552,0.001184,0.003552,0.001184
18,6744.75,0.78034,1.10138,0.02164,0.76754,0.74661,0.80381,0.60178,0.8267,1.17272,0.0215,0.00353963,0.00117988,0.00353963,0.00117988,0.00353963,0.00117988,0.00353963,0.00117988
19,7203.23,0.77725,1.00993,0.02156,0.70548,0.68696,0.73001,0.54175,0.87595,1.48337,0.02283,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575
20,7631.43,0.76059,0.99925,0.02124,0.74379,0.75444,0.80136,0.59248,0.86144,1.11128,0.02241,0.00351487,0.00117163,0.00351487,0.00117163,0.00351487,0.00117163,0.00351487,0.00117163
21,7974.3,0.75067,0.95889,0.02111,0.72661,0.74344,0.80401,0.59897,0.84013,1.19333,0.02191,0.0035025,0.0011675,0.0035025,0.0011675,0.0035025,0.0011675,0.0035025,0.0011675
22,8302.87,0.7406,0.97021,0.02028,0.72939,0.70882,0.7901,0.5826,0.85786,1.30275,0.02203,0.00349012,0.00116337,0.00349012,0.00116337,0.00349012,0.00116337,0.00349012,0.00116337
23,8645.39,0.74515,0.88505,0.02044,0.75944,0.75083,0.80107,0.59745,0.8585,1.27067,0.0228,0.00347775,0.00115925,0.00347775,0.00115925,0.00347775,0.00115925,0.00347775,0.00115925
24,8987.45,0.72831,0.87303,0.02028,0.79005,0.72619,0.79442,0.59491,0.8379,1.15755,0.02189,0.00346538,0.00115513,0.00346538,0.00115513,0.00346538,0.00115513,0.00346538,0.00115513
25,9327.96,0.72862,0.83041,0.02014,0.76654,0.78797,0.82392,0.62014,0.83046,1.10409,0.02181,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151
26,9670.15,0.72045,0.82001,0.02039,0.76679,0.76912,0.7983,0.60237,0.82644,1.08896,0.02164,0.00344062,0.00114688,0.00344062,0.00114688,0.00344062,0.00114688,0.00344062,0.00114688
27,10002.4,0.7051,0.78914,0.01976,0.78902,0.75571,0.79766,0.60338,0.83983,1.11842,0.02169,0.00342825,0.00114275,0.00342825,0.00114275,0.00342825,0.00114275,0.00342825,0.00114275
28,10339.3,0.71638,0.77609,0.01986,0.81632,0.8013,0.82955,0.63148,0.85112,1.04128,0.02228,0.00341588,0.00113863,0.00341588,0.00113863,0.00341588,0.00113863,0.00341588,0.00113863
29,10711,0.70826,0.72981,0.01954,0.75428,0.78865,0.79619,0.60151,0.84847,1.16915,0.02247,0.0034035,0.0011345,0.0034035,0.0011345,0.0034035,0.0011345,0.0034035,0.0011345
30,11092.8,0.67797,0.74747,0.0187,0.73876,0.78066,0.77505,0.58096,0.8787,1.26982,0.02285,0.00339113,0.00113038,0.00339113,0.00113038,0.00339113,0.00113038,0.00339113,0.00113038
31,11490,0.69071,0.69493,0.01931,0.8121,0.78892,0.82833,0.61264,0.83957,1.06689,0.02166,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625
32,11869.8,0.67559,0.67421,0.01852,0.81589,0.74917,0.83566,0.6267,0.86221,1.00213,0.02282,0.00336638,0.00112213,0.00336638,0.00112213,0.00336638,0.00112213,0.00336638,0.00112213
33,12253.4,0.6752,0.6665,0.01851,0.69852,0.74151,0.75618,0.56473,0.86483,1.26959,0.02244,0.003354,0.001118,0.003354,0.001118,0.003354,0.001118,0.003354,0.001118
34,12636.7,0.6769,0.65482,0.01873,0.82643,0.76063,0.82517,0.62148,0.8872,1.20118,0.02329,0.00334162,0.00111388,0.00334162,0.00111388,0.00334162,0.00111388,0.00334162,0.00111388
35,12996.4,0.66539,0.66083,0.01847,0.75316,0.83455,0.81433,0.61194,0.83391,1.03893,0.02183,0.00332925,0.00110975,0.00332925,0.00110975,0.00332925,0.00110975,0.00332925,0.00110975
36,13333.8,0.65617,0.61921,0.01794,0.81152,0.78927,0.82478,0.607,0.88226,1.01146,0.02335,0.00331687,0.00110563,0.00331687,0.00110563,0.00331687,0.00110563,0.00331687,0.00110563
37,13674.9,0.65203,0.60264,0.01785,0.81599,0.79606,0.82376,0.61463,0.88746,1.06575,0.02301,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015
38,14008.5,0.64372,0.61931,0.0176,0.73284,0.77752,0.78072,0.58636,0.87173,1.23953,0.02263,0.00329212,0.00109738,0.00329212,0.00109738,0.00329212,0.00109738,0.00329212,0.00109738
39,14348.3,0.63944,0.58369,0.01764,0.78399,0.76207,0.80647,0.61016,0.83801,1.22068,0.02193,0.00327975,0.00109325,0.00327975,0.00109325,0.00327975,0.00109325,0.00327975,0.00109325
40,14696.6,0.63316,0.58041,0.01731,0.78278,0.81525,0.81205,0.61026,0.88465,1.00875,0.02334,0.00326737,0.00108913,0.00326737,0.00108913,0.00326737,0.00108913,0.00326737,0.00108913
41,15067.8,0.63043,0.58419,0.01718,0.78382,0.76169,0.79509,0.59042,0.85672,1.05769,0.02222,0.003255,0.001085,0.003255,0.001085,0.003255,0.001085,0.003255,0.001085
42,15517.6,0.62566,0.56822,0.01721,0.81919,0.76922,0.82421,0.62539,0.82403,1.10305,0.02156,0.00324262,0.00108088,0.00324262,0.00108088,0.00324262,0.00108088,0.00324262,0.00108088
43,16082.3,0.61071,0.54941,0.01678,0.82045,0.77825,0.82609,0.61897,0.88379,1.01363,0.02344,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675
44,16448.4,0.61551,0.52351,0.01659,0.82052,0.80036,0.84409,0.63255,0.88323,0.93329,0.02311,0.00321787,0.00107263,0.00321787,0.00107263,0.00321787,0.00107263,0.00321787,0.00107263
45,16801.7,0.59706,0.52958,0.01635,0.80898,0.77579,0.80893,0.59929,0.88522,1.02804,0.02328,0.0032055,0.0010685,0.0032055,0.0010685,0.0032055,0.0010685,0.0032055,0.0010685
46,17164.1,0.59355,0.52723,0.01626,0.78081,0.77351,0.82609,0.61851,0.85,1.1075,0.02249,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437
47,17509.3,0.60282,0.53155,0.01617,0.73539,0.78402,0.78014,0.5753,0.86983,1.23134,0.02267,0.00318075,0.00106025,0.00318075,0.00106025,0.00318075,0.00106025,0.00318075,0.00106025
48,17837.3,0.59304,0.51294,0.01613,0.82075,0.77548,0.82343,0.61714,0.8801,1.08978,0.02312,0.00316837,0.00105612,0.00316837,0.00105612,0.00316837,0.00105612,0.00316837,0.00105612
49,18187.9,0.58523,0.50508,0.01596,0.77717,0.83283,0.82099,0.62392,0.86814,1.15783,0.02271,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052
50,18549.4,0.58169,0.503,0.01587,0.83309,0.76119,0.80709,0.60479,0.87148,1.21306,0.02269,0.00314363,0.00104787,0.00314363,0.00104787,0.00314363,0.00104787,0.00314363,0.00104787
51,18909.5,0.57027,0.48703,0.01549,0.84565,0.75878,0.833,0.62539,0.86145,0.99421,0.0226,0.00313125,0.00104375,0.00313125,0.00104375,0.00313125,0.00104375,0.00313125,0.00104375
52,19260,0.58421,0.47458,0.01576,0.80043,0.7935,0.84104,0.63525,0.85955,1.08198,0.02263,0.00311887,0.00103962,0.00311887,0.00103962,0.00311887,0.00103962,0.00311887,0.00103962
53,19606.8,0.57275,0.46342,0.01538,0.79234,0.76483,0.79007,0.58896,0.89388,1.26972,0.02325,0.0031065,0.0010355,0.0031065,0.0010355,0.0031065,0.0010355,0.0031065,0.0010355
54,19963.4,0.56896,0.4703,0.01524,0.79785,0.79154,0.82886,0.61688,0.90472,1.13936,0.0238,0.00309413,0.00103138,0.00309413,0.00103138,0.00309413,0.00103138,0.00309413,0.00103138
55,20478.7,0.56489,0.47095,0.01529,0.7928,0.7852,0.82467,0.62226,0.87048,1.09257,0.02274,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725
56,20824.7,0.55283,0.47404,0.01495,0.82875,0.75628,0.80984,0.60022,0.86559,1.12571,0.02296,0.00306938,0.00102312,0.00306938,0.00102312,0.00306938,0.00102312,0.00306938,0.00102312
57,21187.3,0.55885,0.45313,0.01486,0.80587,0.78663,0.83493,0.62146,0.87643,1.06548,0.02311,0.003057,0.001019,0.003057,0.001019,0.003057,0.001019,0.003057,0.001019
58,21759.1,0.55754,0.46079,0.01486,0.82196,0.74939,0.81194,0.59984,0.88901,1.1198,0.02371,0.00304463,0.00101488,0.00304463,0.00101488,0.00304463,0.00101488,0.00304463,0.0010148859,22109.4,0.53809,0.43652,0.01458,0.81044,0.7771,0.81623,0.6066,0.89054,1.19877,0.02338,0.00303225,0.00101075,0.00303225,0.00101075,0.00303225,0.00101075,0.00303225,0.00101075
60,22445,0.55084,0.45351,0.01484,0.77509,0.79119,0.81013,0.61218,0.84038,1.17007,0.02219,0.00301987,0.00100663,0.00301987,0.00100663,0.00301987,0.00100663,0.00301987,0.00100663
61,22865.8,0.54875,0.44872,0.01458,0.79274,0.75914,0.81461,0.61491,0.86355,1.14984,0.02274,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025
62,23209.9,0.53667,0.42639,0.01454,0.81728,0.75062,0.82686,0.63631,0.86186,1.12356,0.02258,0.00299512,0.000998375,0.00299512,0.000998375,0.00299512,0.000998375,0.00299512,0.000998375
63,23560.7,0.52447,0.42733,0.01409,0.81099,0.80464,0.82948,0.64585,0.84009,1.13198,0.02194,0.00298275,0.00099425,0.00298275,0.00099425,0.00298275,0.00099425,0.00298275,0.00099425
64,23909.1,0.54394,0.41847,0.01467,0.80428,0.82162,0.83954,0.63734,0.86108,1.00042,0.02245,0.00297037,0.000990125,0.00297037,0.000990125,0.00297037,0.000990125,0.00297037,0.000990125
65,24282.4,0.53912,0.40364,0.01444,0.81451,0.8145,0.83872,0.63212,0.88032,1.25193,0.02292,0.002958,0.000986,0.002958,0.000986,0.002958,0.000986,0.002958,0.000986
66,24641.7,0.52974,0.39766,0.01426,0.78236,0.83744,0.84209,0.64455,0.83245,1.28011,0.02156,0.00294562,0.000981875,0.00294562,0.000981875,0.00294562,0.000981875,0.00294562,0.000981875
67,25014,0.51934,0.40045,0.01388,0.84889,0.81143,0.84324,0.63085,0.84342,1.17312,0.02193,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775
68,25389.4,0.5288,0.39727,0.0143,0.80565,0.81183,0.83963,0.65136,0.84353,1.07797,0.022,0.00292087,0.000973625,0.00292087,0.000973625,0.00292087,0.000973625,0.00292087,0.000973625
69,25755.1,0.52897,0.3936,0.01432,0.81903,0.75962,0.79845,0.6018,0.89131,1.33775,0.02326,0.0029085,0.0009695,0.0029085,0.0009695,0.0029085,0.0009695,0.0029085,0.0009695
70,26119,0.52092,0.40659,0.01404,0.8138,0.78039,0.83236,0.62575,0.87011,1.13335,0.02304,0.00289612,0.000965375,0.00289612,0.000965375,0.00289612,0.000965375,0.00289612,0.000965375
71,26473.5,0.51665,0.38999,0.01379,0.81056,0.74253,0.81143,0.61593,0.8491,1.14628,0.0221,0.00288375,0.00096125,0.00288375,0.00096125,0.00288375,0.00096125,0.00288375,0.00096125
72,26823.3,0.50994,0.37865,0.01379,0.81138,0.80345,0.80484,0.6099,0.8781,1.11969,0.02316,0.00287137,0.000957125,0.00287137,0.000957125,0.00287137,0.000957125,0.00287137,0.000957125
73,27166,0.50614,0.36571,0.01384,0.81876,0.77593,0.82011,0.62004,0.84865,1.1366,0.02212,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953
